Area,Name,lsoa11nm,lsoa11cd,chgind,lsoa21nm,lsoa21cd
Atom Valley , Bury 017A,Bury 017A,E01004945,U,Bury 017A,E01004945
Atom Valley , Bury 022A,Bury 022A,E01004969,U,Bury 022A,E01004969
Green Belt,Bury 014C,Bury 014C,E01004999,U,Bury 014C,E01004999
City Centre, Manchester 018B,Manchester 018B,E01005062,S,Manchester 018G,E01034116
City Centre, Manchester 018B,Manchester 018B,E01005062,S,Manchester 018F,E01034115
City Centre, Manchester 018E,Manchester 018E,E01005066,U,Manchester 018E,E01005066
City Centre, Manchester 055A,Manchester 055A,E01005128,U,Manchester 055A,E01005128
City Centre, Manchester 054A,Manchester 054A,E01005130,U,Manchester 054A,E01005130
City Centre, Manchester 013D,Manchester 013D,E01005133,S,Manchester 061C,E01034133
City Centre, Manchester 013D,Manchester 013D,E01005133,S,Manchester 061D,E01034134
City Centre, Manchester 019B,Manchester 019B,E01005209,S,Manchester 019F,E01034118
City Centre, Manchester 019B,Manchester 019B,E01005209,S,Manchester 019E,E01034117
City Centre, Manchester 019C,Manchester 019C,E01005210,U,Manchester 019C,E01005210
City Centre, Manchester 057A,Manchester 057A,E01005212,U,Manchester 057A,E01005212
Atom Valley , Rochdale 020F,Rochdale 020F,E01005508,U,Rochdale 020F,E01005508
City Centre, Salford 022D,Salford 022D,E01005610,U,Salford 034C,E01005610
City Centre, Salford 022E,Salford 022E,E01032684,U,Salford 034D,E01032684
City Centre, Salford 022F,Salford 022F,E01032687,S,Salford 033D,E01033990
City Centre, Salford 022F,Salford 022F,E01032687,S,Salford 033C,E01033989
City Centre, Salford 022G,Salford 022G,E01032906,U,Salford 034E,E01032906
City Centre, Salford 022H,Salford 022H,E01032907,S,Salford 034A,E01033991
City Centre, Salford 022H,Salford 022H,E01032907,S,Salford 034B,E01033992
City Centre, Salford 022I,Salford 022I,E01032909,U,Salford 033F,E01032909
City Centre, Salford 022J,Salford 022J,E01032911,S,Salford 033A,E01033987
City Centre, Salford 022J,Salford 022J,E01032911,S,Salford 033B,E01033988
City Centre, Salford 017F,Salford 017F,E01032919,S,Salford 017H,E01033981
City Centre, Salford 017F,Salford 017F,E01032919,S,Salford 017G,E01033980
City Centre, Manchester 054B,Manchester 054B,E01033651,U,Manchester 054B,E01033651
City Centre, Manchester 022F,Manchester 022F,E01033652,M,Manchester 022H,E01034119
City Centre, Manchester 055B,Manchester 055B,E01033653,U,Manchester 055B,E01033653
City Centre, Manchester 055C,Manchester 055C,E01033654,U,Manchester 055C,E01033654
City Centre, Manchester 056B,Manchester 056B,E01033655,U,Manchester 056B,E01033655
City Centre, Manchester 057B,Manchester 057B,E01033656,U,Manchester 057B,E01033656
City Centre, Manchester 054C,Manchester 054C,E01033658,U,Manchester 054C,E01033658
City Centre, Manchester 055D,Manchester 055D,E01033659,S,Manchester 055G,E01034130
City Centre, Manchester 055D,Manchester 055D,E01033659,S,Manchester 055F,E01034129
City Centre, Manchester 055E,Manchester 055E,E01033661,U,Manchester 055E,E01033661
City Centre, Manchester 057C,Manchester 057C,E01033662,U,Manchester 057C,E01033662
City Centre, Manchester 013E,Manchester 013E,E01033663,S,Manchester 062C,E01034136
City Centre, Manchester 013E,Manchester 013E,E01033663,S,Manchester 062A,E01034135
City Centre, Manchester 054D,Manchester 054D,E01033664,U,Manchester 054D,E01033664
City Centre, Manchester 056C,Manchester 056C,E01033665,U,Manchester 056C,E01033665
City Centre, Manchester 054E,Manchester 054E,E01033667,U,Manchester 054E,E01033667
City Centre, Manchester 058C,Manchester 058C,E01033674,U,Manchester 058C,E01033674
City Centre, Manchester 060A,Manchester 060A,E01033677,U,Manchester 060A,E01033677
City Centre, Manchester 060B,Manchester 060B,E01033681,U,Manchester 060B,E01033681
City Centre, Manchester 060C,Manchester 060C,E01033682,U,Manchester 060C,E01033682
City Centre, Manchester 060D,Manchester 060D,E01033683,S,Manchester 060E,E01034131
City Centre, Manchester 060D,Manchester 060D,E01033683,S,Manchester 060F,E01034132
City Centre, Manchester 013F,Manchester 013F,E01033684,U,Manchester 062D,E01033684
