lsoa21cd,LSOAname,CommunityServiceTotal,DefenceTotal,IndustryandCommerceTotal,MineralsandlandfillTotal,ResidentialTotal,TransportandutilitiesTotal,UnknowndevelopeduseTotal,DevelopeduseTotal,AgricultureTotal,ForestopenlandandwaterTota,OutdoorrecreationTotal,ResidentialgardensTotal,UndevelopedlandTotal,NondevelopedTotal,VacantTotal,Total,zone,zone_cat
E01004945,Bury 017A,2.5166116325508,,.0354269734443497,,1.51088687785036,5.87795323694609,1.09634612396584,11.0372248447574,56.1812540613521,12.184833374179,15.8543431842379,4.59756717865225,.018108914286748,88.836106712708,.126668442534591,100,agricultural,agricultural
E01004969,Bury 022A,2.833542500687,,.022316646557505,,1.64738162781303,11.4031147724527,2.45814980358167,18.3645053510919,67.0843033868437,6.26037854278375,1.16759916171038,5.86543394893139,1.25777960863892,81.63549464890809,,100,agricultural,agricultural
E01004999,Bury 014C,2.53498915889838,,.585538330143373,,2.11508290954845,3.18242819354131,2.10839354667185,10.5264321388034,63.2037219501683,18.6391510249218,.104603805650582,7.44423238414269,,89.39170916488339,.0818586963132956,100,agricultural,agricultural
E01005066,Manchester 018E,21.3563101578661,,2.28627004488937,,8.97638293369017,33.9460786800173,7.07491646409845,73.6399582805614,2.84251746684143,2.25251803157844,8.627814735533059,12.6371914854857,,26.3600417194386,,100,public or transport,public or transport
E01005128,Manchester 055A,30.5623537185444,,5.55811157929883,,12.63328973068,24.4902051542751,9.28566994561546,82.5296301284137,3.41249783054219,1.82434028733495,2.91855349288232,,,8.15539161075945,9.314978260826811,100,public or transport,public or transport
E01005130,Manchester 054A,8.190828276783639,,.691089535258666,,7.43569693699468,29.0941262619834,12.3138281249892,57.7255691360096,16.033507974994,10.0862567027656,1.29426183236674,13.5110299871419,,40.9250564972683,1.34937436672216,100,N/A,N/A
E01005210,Manchester 019C,38.2153790315677,.560463108918312,.7069756886915139,,9.73901542666267,24.9928679866546,12.1195682537867,86.33426949628149,3.51677749253266,,.361903231428187,9.7870497797577,,13.6657305037185,,100,public or transport,public or transport
E01005212,Manchester 057A,26.8934237839301,,,,10.0507452554233,31.0535768097184,12.2089707386352,80.20671658770701,8.00746941523261,4.0888344501816,,7.55354015547487,,19.6498440208891,.143439391403964,100,mixed_use,mixed_use
E01005508,Rochdale 020F,.0337215575049243,,1.37740646743116,,1.51096792504169,9.66558125916448,8.002917797550721,20.590595006693,58.2431253174202,8.19478182909701,4.54508585221544,5.58113979493214,1.67902920686751,78.24316200053229,1.16624299277472,100,agricultural,agricultural
E01005610,Salford 034C,28.0527228426612,,1.20181376374265,,4.00590962542866,18.5801871080814,8.45135543097013,60.2919887708841,8.892001322854311,6.61917011898998,13.913393407333,8.72282626947319,,38.1473911186505,1.56062011046541,100,N/A,N/A
E01032684,Salford 034D,1.1910411167602,,2.79615824326106,,10.0652167216667,25.1265390788481,11.4854967419223,50.6644519024584,15.297930341714,9.113397579783561,.322868110713697,24.6013520653304,,49.3355480975416,,100,N/A,N/A
E01032906,Salford 034E,3.88179027641907,,3.66777965810418,,9.156157965551531,39.9783778483267,14.1179987357897,70.8021044841911,11.4128782359113,4.07612082337998,1.58193139124636,6.0795671729711,,23.1504976235087,6.04739789230016,100,public or transport,public or transport
E01032909,Salford 033F,1.62329603326863,,7.91776151835283,,16.2171869989876,38.8929681936271,20.1367210008541,84.7879337450902,3.07203287418576,7.52029802866451,,4.61973535205948,,15.2120662549098,,100,public or transport,public or transport
E01033651,Manchester 054B,.847134138576389,,7.50877783002744,,6.57450231664103,37.6949665105123,35.5225204547832,88.1479012505403,3.63035714875751,3.91742555630577,.540087762595265,1.77095324218828,,9.858823709846821,1.99327503961289,100,public or transport,public or transport
E01033653,Manchester 055B,2.43155730461474,,23.957391781802,,12.0431586431857,45.0789528899679,12.2341555524346,95.7452161720049,1.22932630782767,.264664227034815,2.35885097073121,.112678569079047,,3.96552007467275,.289263753322344,100,mixed_use,mixed_use
