Localauthorityname,Localauthoritycode,LSOAname,LSOAcode,Year,MeanPricePaidRes
Bolton,E08000001,Bolton 005A,E01004766,1995,33557.8125
Bolton,E08000001,Bolton 005A,E01004766,1996,31378.595745
Bolton,E08000001,Bolton 005A,E01004766,1997,34176.489362
Bolton,E08000001,Bolton 005A,E01004766,1998,34074.358974
Bolton,E08000001,Bolton 005A,E01004766,1999,35880.681818
Bolton,E08000001,Bolton 005A,E01004766,2000,34483.604651
Bolton,E08000001,Bolton 005A,E01004766,2001,47939.918033
Bolton,E08000001,Bolton 005A,E01004766,2002,43460.421053
Bolton,E08000001,Bolton 005A,E01004766,2003,64555.526316
Bolton,E08000001,Bolton 005A,E01004766,2004,75186.979592
Bolton,E08000001,Bolton 005A,E01004766,2005,94152.90697700001
Bolton,E08000001,Bolton 005A,E01004766,2006,113577.45763
Bolton,E08000001,Bolton 005A,E01004766,2007,107055.22727
Bolton,E08000001,Bolton 005A,E01004766,2008,112847.82609
Bolton,E08000001,Bolton 005A,E01004766,2009,90418.75
Bolton,E08000001,Bolton 005A,E01004766,2010,124887.6875
Bolton,E08000001,Bolton 005A,E01004766,2011,100366.6
Bolton,E08000001,Bolton 005A,E01004766,2012,77616.666667
Bolton,E08000001,Bolton 005A,E01004766,2013,95233.333333
Bolton,E08000001,Bolton 005A,E01004766,2014,97014.81481500001
Bolton,E08000001,Bolton 005A,E01004766,2015,92881.481481
Bolton,E08000001,Bolton 005A,E01004766,2016,103717.30769
Bolton,E08000001,Bolton 005A,E01004766,2017,125496.15385
Bolton,E08000001,Bolton 005A,E01004766,2018,99960.526316
Bolton,E08000001,Bolton 005A,E01004766,2019,109285.71429
Bolton,E08000001,Bolton 005A,E01004766,2020,246641.71875
Bolton,E08000001,Bolton 005A,E01004766,2021,163792.80556
Bolton,E08000001,Bolton 005A,E01004766,2022,176339.64286
Bolton,E08000001,Bolton 005B,E01004767,1995,39895.833333
Bolton,E08000001,Bolton 005B,E01004767,1996,38061.458333
Bolton,E08000001,Bolton 005B,E01004767,1997,34675.806452
Bolton,E08000001,Bolton 005B,E01004767,1998,44734.310345
Bolton,E08000001,Bolton 005B,E01004767,1999,71967.548387
Bolton,E08000001,Bolton 005B,E01004767,2000,60306.166667
Bolton,E08000001,Bolton 005B,E01004767,2001,44662.5
Bolton,E08000001,Bolton 005B,E01004767,2002,52329.594595
Bolton,E08000001,Bolton 005B,E01004767,2003,76384.596154
Bolton,E08000001,Bolton 005B,E01004767,2004,79513.846154
Bolton,E08000001,Bolton 005B,E01004767,2005,92536.684211
Bolton,E08000001,Bolton 005B,E01004767,2006,103288.17391
Bolton,E08000001,Bolton 005B,E01004767,2007,126666.01351
Bolton,E08000001,Bolton 005B,E01004767,2008,88203.017857
Bolton,E08000001,Bolton 005B,E01004767,2009,108478.26087
Bolton,E08000001,Bolton 005B,E01004767,2010,96805.55555600001
Bolton,E08000001,Bolton 005B,E01004767,2011,85868.181818
Bolton,E08000001,Bolton 005B,E01004767,2012,85174.452381
Bolton,E08000001,Bolton 005B,E01004767,2013,87140.491803
Bolton,E08000001,Bolton 005B,E01004767,2014,108530
Bolton,E08000001,Bolton 005B,E01004767,2015,102048.52174
Bolton,E08000001,Bolton 005B,E01004767,2016,116153.3125
Bolton,E08000001,Bolton 005B,E01004767,2017,101669.64286
Bolton,E08000001,Bolton 005B,E01004767,2018,131091.93548
Bolton,E08000001,Bolton 005B,E01004767,2019,122658.33333
Bolton,E08000001,Bolton 005B,E01004767,2020,131030.35714
Bolton,E08000001,Bolton 005B,E01004767,2021,162051.38889
Bolton,E08000001,Bolton 005B,E01004767,2022,124713.63636
Bolton,E08000001,Bolton 001A,E01004768,1995,89278.289474
Bolton,E08000001,Bolton 001A,E01004768,1996,80765.961538
Bolton,E08000001,Bolton 001A,E01004768,1997,82090.606061
Bolton,E08000001,Bolton 001A,E01004768,1998,89205.32608699999
Bolton,E08000001,Bolton 001A,E01004768,1999,87972.916667
Bolton,E08000001,Bolton 001A,E01004768,2000,88692.972973
Bolton,E08000001,Bolton 001A,E01004768,2001,118880.36364
Bolton,E08000001,Bolton 001A,E01004768,2002,122699.90625
Bolton,E08000001,Bolton 001A,E01004768,2003,155353.16667
Bolton,E08000001,Bolton 001A,E01004768,2004,182110.17241
Bolton,E08000001,Bolton 001A,E01004768,2005,188669.42105
Bolton,E08000001,Bolton 001A,E01004768,2006,195759.375
Bolton,E08000001,Bolton 001A,E01004768,2007,258420.78947
Bolton,E08000001,Bolton 001A,E01004768,2008,232726.81818
