Region/Country code,Region/Country name,Local authority code ,Local authority name,Year ending Dec 2022
E12000001,North East,E06000001,Hartlepool,"130,000"
E12000001,North East,E06000002,Middlesbrough,"137,500"
E12000001,North East,E06000003,Redcar and Cleveland,"150,000"
E12000001,North East,E06000004,Stockton-on-Tees,"160,000"
E12000001,North East,E06000005,Darlington,"154,225"
E12000001,North East,E06000047,County Durham,"125,000"
E12000001,North East,E06000057,Northumberland,"185,000"
E12000001,North East,E08000021,Newcastle upon Tyne,"183,975"
E12000001,North East,E08000022,North Tyneside,"182,500"
E12000001,North East,E08000023,South Tyneside,"148,000"
E12000001,North East,E08000024,Sunderland,"135,000"
E12000001,North East,E08000037,Gateshead,"145,000"
E12000002,North West,E06000006,Halton,"170,000"
E12000002,North West,E06000007,Warrington,"240,000"
E12000002,North West,E06000008,Blackburn with Darwen,"138,000"
E12000002,North West,E06000009,Blackpool,"131,000"
E12000002,North West,E06000049,Cheshire East,"270,000"
E12000002,North West,E06000050,Cheshire West and Chester,"244,000"
E12000002,North West,E07000026,Allerdale,"170,000"
E12000002,North West,E07000027,Barrow-in-Furness,"145,500"
E12000002,North West,E07000028,Carlisle,"152,500"
E12000002,North West,E07000029,Copeland,"137,000"
E12000002,North West,E07000030,Eden,"250,000"
E12000002,North West,E07000031,South Lakeland,"280,000"
E12000002,North West,E07000117,Burnley,"120,000"
E12000002,North West,E07000118,Chorley,"194,995"
E12000002,North West,E07000119,Fylde,"223,000"
E12000002,North West,E07000120,Hyndburn,"125,500"
E12000002,North West,E07000121,Lancaster,"185,000"
E12000002,North West,E07000122,Pendle,"132,750"
E12000002,North West,E07000123,Preston,"160,000"
E12000002,North West,E07000124,Ribble Valley,"260,000"
E12000002,North West,E07000125,Rossendale,"170,000"
E12000002,North West,E07000126,South Ribble,"195,000"
E12000002,North West,E07000127,West Lancashire,"210,000"
E12000002,North West,E07000128,Wyre,"182,000"
E12000002,North West,E08000001,Bolton,"176,000"
E12000002,North West,E08000002,Bury,"223,000"
E12000002,North West,E08000003,Manchester,"235,000"
E12000002,North West,E08000004,Oldham,"180,000"
E12000002,North West,E08000005,Rochdale,"180,000"
E12000002,North West,E08000006,Salford,"225,000"
E12000002,North West,E08000007,Stockport,"285,000"
E12000002,North West,E08000008,Tameside,"195,000"
E12000002,North West,E08000009,Trafford,"355,000"
E12000002,North West,E08000010,Wigan,"174,000"
E12000002,North West,E08000011,Knowsley,"170,000"
E12000002,North West,E08000012,Liverpool,"160,000"
E12000002,North West,E08000013,St. Helens,"165,000"
E12000002,North West,E08000014,Sefton,"210,000"
E12000002,North West,E08000015,Wirral,"200,000"
E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of","130,000"
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,"210,000"
E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,"155,000"
E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,"169,950"
E12000003,Yorkshire and The Humber,E06000014,York,"298,605"
E12000003,Yorkshire and The Humber,E07000163,Craven,"252,800"
E12000003,Yorkshire and The Humber,E07000164,Hambleton,"265,000"
E12000003,Yorkshire and The Humber,E07000165,Harrogate,"325,000"
E12000003,Yorkshire and The Humber,E07000166,Richmondshire,"255,500"
E12000003,Yorkshire and The Humber,E07000167,Ryedale,"280,000"
E12000003,Yorkshire and The Humber,E07000168,Scarborough,"198,000"
E12000003,Yorkshire and The Humber,E07000169,Selby,"247,250"
E12000003,Yorkshire and The Humber,E08000016,Barnsley,"158,000"
E12000003,Yorkshire and The Humber,E08000017,Doncaster,"156,000"
E12000003,Yorkshire and The Humber,E08000018,Rotherham,"171,500"
E12000003,Yorkshire and The Humber,E08000019,Sheffield,"197,000"
E12000003,Yorkshire and The Humber,E08000032,Bradford,"160,000"
E12000003,Yorkshire and The Humber,E08000033,Calderdale,"167,000"
E12000003,Yorkshire and The Humber,E08000034,Kirklees,"185,000"
E12000003,Yorkshire and The Humber,E08000035,Leeds,"227,000"
E12000003,Yorkshire and The Humber,E08000036,Wakefield,"182,000"
