gpslat,gpslon,rstnam,nettyp
53.387669,-2.347158,ALTRINCHAM INTERCHANGE,R
53.471207,-2.2133689,ARDWICK,R
53.471867,-2.194752,ASHBURYS,R
53.49128,-2.094327,ASHTON UNDER LYNE,R
53.52911,-2.4779899,ATHERTON,R
53.421963,-2.215229,BURNAGE,R
53.461788,-2.180187,BELLE VUE,R
53.591183,-2.5698049,BLACKROD,R
53.360558,-2.1630211,BRAMHALL,R
53.573559,-2.4251521,BOLTON INTERCHANGE,R
53.440792,-2.0166249,BROADBOTTOM,R
53.423069,-2.1105461,BREDBURY,R
53.613983,-2.4107299,BROMLEY CROSS,R
53.431953,-2.134094,BRINNINGTON,R
53.499645,-2.647723,BRYN,R
53.446194,-2.3681719,CHASSEN ROAD,R
53.376278,-2.1880779,CHEADLE HULME,R
53.522247,-2.3139739,CLIFTON,R
53.592167,-2.178128,CASTLETON,R
53.539371,-2.515317,DAISY HILL,R
53.390888,-2.1525199,DAVENPORT,R
53.457222,-2.131027,DENTON,R
53.485558,-2.333354,ECCLES,R
53.409313,-2.2219951,EAST DIDSBURY,R
53.443787,-2.383507,FLIXTON,R
53.461437,-2.0802391,FLOWERY FIELD,R
53.47131,-2.1449599,FAIRFIELD,R
53.550339,-2.388273,FARNWORTH,R
53.559505,-2.6942279,GATHURST,R
53.392929,-2.230828,GATLEY,R
53.538849,-2.0140669,GREENFIELD,R
53.474552,-2.113951,GUIDE BRIDGE,R
53.452267,-2.055707,GODLEY,R
53.469006,-2.167217,GORTON,R
53.533592,-2.493928,HAG FOLD,R
53.378517,-2.3474891,HALE,R
53.445271,-2.0403399,HATTERSLEY,R
53.377766,-2.122726,HAZEL GROVE,R
53.542358,-2.575321,HINDLEY,R
53.597221,-2.413151,HALL I'TH' WOOD,R
53.369404,-2.236696,HEALD GREEN,R
53.452271,-2.327719,HUMPHREY PARK,R
53.578022,-2.5394831,HORWICH PARKWAY,R
53.425636,-2.1789949,HEATON CHAPEL,R
53.45145,-2.085083,HYDE CENTRAL,R
53.464752,-2.085125,HYDE NORTH,R
53.539066,-2.612381,INCE,R
53.434227,-2.432776,IRLAM,R
53.544575,-2.3755741,KEARSLEY,R
53.64299,-2.0945439,LITTLEBOROUGH,R
53.573032,-2.4941001,LOSTOCK,R
53.444386,-2.192744,LEVENSHULME,R
53.401012,-2.057518,MARPLE,R
53.360081,-2.083503,MIDDLEWOOD,R
53.43351,-2.208966,MAULDETH ROAD,R
53.551064,-2.171479,MILLS HILL,R
53.474144,-2.2509961,DEANSGATE,R
53.365093,-2.2726331,MANCHESTER AIRPORT RAIL STATION,R
53.473785,-2.2422481,MANCHESTER OXFORD ROAD,R
53.47707,-2.230484,MANCHESTER PICCADILLY,R
53.4622,-2.2907281,MANCHESTER UNITED FOOTBALL GROUND,R
53.487942,-2.2429309,MANCHESTER VICTORIA,R
53.514923,-2.0413251,MOSSLEY,R
53.516335,-2.3522501,MOORSIDE,R
53.556175,-2.4013391,MOSES GATE,R
53.523335,-2.171021,MOSTON,R
53.395721,-2.343329,NAVIGATION ROAD,R
53.456585,-2.066947,NEWTON FOR HYDE,R
53.53017,-2.709182,ORRELL,R
53.530487,-2.669857,PEMBERTON,R
53.484867,-2.3568571,PATRICROFT,R
53.610233,-2.153522,ROCHDALE,R
53.449543,-2.156239,REDDISH NORTH,R
53.436073,-2.1585071,REDDISH SOUTH,R
53.396023,-2.0765049,ROSE HILL,R
53.414017,-2.089325,ROMILEY,R
53.456837,-2.1736751,RYDER BROW,R
53.484386,-2.063328,STALYBRIDGE,R
53.486485,-2.2757771,SALFORD CRESCENT,R
53.482845,-2.2555449,SALFORD CENTRAL,R
53.63298,-2.113863,SMITHY BRIDGE,R
53.405537,-2.1630571,STOCKPORT,R
53.51482,-2.3370819,SWINTON,R
53.454784,-2.3117001,TRAFFORD PARK,R
53.448284,-2.353796,URMSTON,R
53.519791,-2.396168,WALKDEN,R
53.543362,-2.6333139,WIGAN NORTH WESTERN,R
53.544834,-2.6334109,WIGAN WALLGATE,R
53.386246,-2.1415579,WOODSMOOR,R
53.42926,-2.092804,WOODLEY,R
53.555912,-2.5231409,WESTHOUGHTON,R
53.510506,-2.235415,Abraham Moss,M
53.365337,-2.272439,Manchester Airport,M
53.387451,-2.3472769,Altrincham,M
53.483604,-2.1219921,Ashton Moss,M
53.474308,-2.28602,Anchorage,M
53.47821,-2.1310921,Audenshaw,M
53.490341,-2.098032,Ashton-Under-Lyne,M
53.490242,-2.1097269,Ashton West,M
53.396534,-2.292521,Baguley,M
53.432831,-2.2693501,Barlow Moor Road,M
53.417103,-2.3261089,Brooklands,M
53.387089,-2.2562211,Benchill,M
53.429195,-2.240701,Burton Road,M
53.541946,-2.286067,Besses o'th'Barn,M
53.524948,-2.2499759,Bowker Vale,M
53.590923,-2.2971089,Bury,M
53.474834,-2.2949569,Broadway,M
53.479862,-2.15501,Cemetery Road,M
53.442852,-2.273433,Chorlton,M
53.4828,-2.1821589,Clayton Hall,M
53.469994,-2.267581,Cornbrook,M
53.517345,-2.2410631,Crumpsall,M
53.383377,-2.256259,Crossacres,M
53.501621,-2.19923,Central Park,M
53.549824,-2.101624,Derker,M
53.416744,-2.228564,Didsbury Village,M
53.430309,-2.311326,Dane Road,M
53.479454,-2.1446719,Droylsden,M
53.482895,-2.334584,Eccles,M
53.485374,-2.201339,Etihad Campus,M
53.412056,-2.2172551,East Didsbury,M
53.480865,-2.16523,Edge Lane,M
53.465714,-2.3419819,Barton Dock Road,M
53.467838,-2.282315,Exchange Quay,M
53.48447,-2.2426701,Exchange Square,M
53.45129,-2.277719,Firswood,M
53.537617,-2.13817,Freehold,M
53.51062,-2.1629319,Failsworth,M
53.474747,-2.2510979,Deansgate - Castlefield,M
53.474026,-2.291321,Harbour City,M
53.530495,-2.2671771,Heaton Park,M
53.519844,-2.1474941,Hollinwood,M
53.483215,-2.212194,Holt Town,M
53.468586,-2.296767,Imperial War Museum,M
53.611118,-2.1238551,Kingsway Business Park,M
53.483994,-2.326757,Ladywell,M
53.480614,-2.2959621,Langworthy,M
53.472279,-2.2968831,MediaCityUK,M
53.39188,-2.2798281,Martinscroft,M
53.608112,-2.112088,Milnrow,M
53.481918,-2.2387829,Market Street,M
53.50108,-2.210685,Monsall,M
53.403419,-2.2952011,Moor Road,M
